date,state,sector,value
2022,Pahang,p4,1584.062
2022,Pahang,p5,31906.849
2022,Pahang,p6,51.142
2022,Perak,p0,80426.886
2022,Perak,p1,11466.447
2022,Perak,p2,449.423
2022,Perak,p3,15606.298
2022,Perak,p4,2036.458
2022,Perak,p5,50816.522
2022,Perak,p6,51.737
2022,Perlis,p0,6209.957
2022,Perlis,p1,1058.373
2022,Perlis,p2,31.391
2022,Perlis,p3,489.059
2022,Perlis,p4,152.461
2022,Perlis,p5,4350.08
2022,Perlis,p6,128.592
2022,Penang,p0,112281.052
2022,Penang,p1,2094.675
2022,Penang,p2,143.903
2022,Penang,p3,54187.835
2022,Penang,p4,2721.224
2022,Penang,p5,52490.218
2022,Penang,p6,643.197
2022,Sabah,p0,82106.428
2022,Sabah,p1,12543.031
2022,Sabah,p2,20454.838
2022,Sabah,p3,5780.032
2022,Sabah,p4,2514.425
2022,Sabah,p5,40544.43
2022,Sabah,p6,269.672
2022,Sarawak,p0,140698.831
2022,Sarawak,p1,14727.061
2022,Sarawak,p2,29911.17
2022,Sarawak,p3,39229.048
2022,Sarawak,p4,4671.277
2022,Sarawak,p5,51732.671
2022,Sarawak,p6,427.604
2022,Selangor,p0,385158.798
2022,Selangor,p1,4925.552
2022,Selangor,p2,796.664
2022,Selangor,p3,117172.055
2022,Selangor,p4,18208.686
2022,Selangor,p5,233372.832
2022,Selangor,p6,10683.01
2022,Terengganu,p0,37353.84
2022,Terengganu,p1,2659.501
2022,Terengganu,p2,197.155
2022,Terengganu,p3,14061.235
2022,Terengganu,p4,1143.569
2022,Terengganu,p5,19284.074
2022,Terengganu,p6,8.308
2022,Kuala Lumpur,p0,240517.538
2022,Kuala Lumpur,p1,0
2022,Kuala Lumpur,p2,147.775
2022,Kuala Lumpur,p3,6297.152
2022,Kuala Lumpur,p4,12212.196
2022,Kuala Lumpur,p5,219683.46
2022,Kuala Lumpur,p6,2175.199
2022,Labuan,p0,7962.511
2022,Labuan,p1,122.137
2022,Labuan,p2,0
2022,Labuan,p3,1376.733
2022,Labuan,p4,147.96
2022,Labuan,p5,6281.577
2022,Labuan,p6,34.104
2023,Johor,p0,148204.766
2023,Johor,p1,17205.216
2023,Johor,p2,691.086
2023,Johor,p3,44165.268
2023,Johor,p4,4484.893
2023,Johor,p5,79960.534
2023,Johor,p6,1697.769
2023,Kedah,p0,51782.054
2023,Kedah,p1,5527.501
2023,Kedah,p2,121.952
2023,Kedah,p3,15137.514
2023,Kedah,p4,1576.896
2023,Kedah,p5,29115.645
2023,Kedah,p6,302.547
2023,Kelantan,p0,27647.952
